genes	term	delta.rank	padj
45/645	Translation, ribosomal structure and biogenesis	-1422	2.87e-23
26/411	Replication, recombination and repair	906	1.63e-6
27/598	RNA processing and modification 	519	0.00234
208/3032	Signal transduction mechanisms	252	0.00279
6/156	Nucleotide transport and metabolism	-795	0.0185
50/375	Energy production and conversion	-501	0.0204
135/1657	Posttranslational modification, protein turnover, chaperones	-232	0.0347
52/833	Transcription	278	0.0691
