comp10_c0_seq1	GO:0005488;GO:0006826;GO:0006879;GO:0008199;GO:0004322;GO:0006950;GO:0006979
comp100_c0_seq1	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0042254
comp1000_c0_seq1	GO:0016020;GO:0004252;GO:0004289;GO:0008132;GO:0008243;GO:0008991;GO:0016808;GO:0004275
comp10001_c0_seq1	GO:0005515;GO:0005267;GO:0006813;GO:0016020;GO:0005249;GO:0008076;GO:0005261;GO:0006812;GO:0005216;GO:0006811;GO:0007268
comp10002_c0_seq1	GO:0004408;GO:0005739
comp10003_c0_seq1	GO:0005515
comp10006_c0_seq1	GO:0004519
comp10007_c0_seq1	GO:0007242;GO:0004726
comp10008_c0_seq1	GO:0004565;GO:0005975;GO:0009341
comp10013_c0_seq1	GO:0003913;GO:0006281;GO:0003904
comp10014_c0_seq1	GO:0046582
comp10015_c0_seq1	GO:0004826;GO:0005524;GO:0005737;GO:0006432;GO:0009328
comp10017_c0_seq1	GO:0005524;GO:0006810;GO:0016021;GO:0042626;GO:0016887;GO:0000166;GO:0017111
comp10021_c0_seq1	GO:0001104;GO:0006366
comp10023_c0_seq1	GO:0003777;GO:0005524;GO:0005875;GO:0007018;GO:0008574
comp10029_c0_seq1	GO:0003676
comp10031_c0_seq1	GO:0005856;GO:0003779
comp10033_c0_seq1	GO:0005007
comp10034_c0_seq1	GO:0005524;GO:0016887;GO:0000166;GO:0017111;GO:0031177
comp10035_c0_seq1	GO:0006914
comp10036_c0_seq1	GO:0007155;GO:0005267;GO:0006813;GO:0016020;GO:0005001
comp10037_c0_seq1	GO:0004014;GO:0006597;GO:0008295
comp10038_c0_seq1	GO:0004618;GO:0006096
comp10039_c0_seq1	GO:0005554
comp10041_c0_seq1	GO:0008152;GO:0016491;GO:0051341
comp10042_c0_seq1	GO:0005509
comp10045_c0_seq1	GO:0003676
comp1005_c0_seq1	GO:0005525;GO:0007264;GO:0015031
comp10050_c0_seq1	GO:0006350;GO:0006952;GO:0005634;GO:0016021;GO:0045449;GO:0006366
comp10051_c0_seq1	GO:0008570
comp10053_c0_seq1	GO:0004287
