# Constructed from biom file
#OTU ID	V001	V002	V003	V004	V005	V006	V007	V008	V009	V010	V011	V012	V013	V014	V015	V016	V017	V018	V019	V020	V021	V022	V023	V024	V025	V026	taxonomy
38e3d5935b0ad023d69787716ee64654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
b97d42ac3610ae576fbd9b997070604c	42.0	220.0	829.0	251.0	180.0	619.0	428.0	1191.0	981.0	584.0	348.0	284.0	612.0	1017.0	423.0	219.0	15.0	946.0	593.0	952.0	360.0	39.0	345.0	189.0	1307.0	393.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales
39c0d28cd6a47673c5edab60f1a89907	28.0	0.0	2691.0	8.0	4714.0	7629.0	4784.0	1963.0	64.0	531.0	961.0	2305.0	0.0	4638.0	434.0	1182.0	3231.0	15611.0	12740.0	10154.0	4361.0	2377.0	11420.0	3573.0	12911.0	2306.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Endozoicomonadaceae; g__Endozoicomonas; s__Acropora_cervicornis
4405cec47f8268de119e95bc785ae458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Cellvibrionaceae
4a592569add7379fef3e927262f453c8	0.0	0.0	0.0	0.0	306.0	266.0	147.0	299.0	0.0	104.0	152.0	202.0	211.0	20.0	79.0	10.0	207.0	90.0	56.0	144.0	279.0	37.0	0.0	0.0	0.0	173.0	d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__uncultured; s__uncultured_bacterium
7d60567eebc6ba310c09dda081ffc1de	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1179.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae
3c22526bb61a5f9279d178c142149913	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	120.0	770.0	12.0	15.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	166.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Nodosilineaceae; g__MBIC10086; s__uncultured_bacterium
eff44bb4ba09a60005974b1abb2b3cee	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	304.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Nostocaceae; g__Rivularia_PCC-7116
1cb712c391990a6de04e597b6521a9cb	390.0	0.0	482.0	0.0	878.0	0.0	0.0	0.0	21.0	175.0	0.0	0.0	119.0	0.0	88.0	502.0	166.0	5.0	0.0	130.0	0.0	60.0	0.0	100.0	447.0	245.0	d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Myxococcaceae; g__P3OB-42; s__uncultured_bacterium
733f8049c8174a0942fa420e6a6e3351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	119.0	0.0	0.0	0.0	0.0	459.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Acrophormium_PCC-7375; s__Leptolyngbya_sp.
fccf02ff1e98b172a20c020e3f057d2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	281.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Rubritaleaceae; g__Roseibacillus; s__uncultured_Verrucomicrobia
65986b67b9bab86237ace5593f6b954d	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	555.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	23.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__uncultured
2cf39148bdc995dd32fcb3160b4a9a04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
dd5315562f33f795d5a7538c2b43b4a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	2.0	0.0	0.0	52560.0	7651.0	0.0	45.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Xenococcaceae; g__uncultured; s__uncultured_bacterium
06f5c0a3c9f9dc4ba2362478830fe813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	259.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Terasakiispira; s__uncultured_bacterium
9726ca61258d41e2915bf8deb8f9a46f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59739.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Fokiniaceae; g__MD3-55; s__uncultured_Alphaproteobacteria
d643fc8c606863f5310421f952f3d86f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Nodosilineaceae; g__MBIC10086; s__uncultured_bacterium
70dbcfcf20cef756dcd55c9bd968bab1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__NS9_marine_group; g__NS9_marine_group
ffe1e63147af5c2cd21231f1d5d59488	72.0	82.0	109.0	131.0	134.0	68.0	154.0	98.0	150.0	40.0	135.0	101.0	119.0	94.0	76.0	41.0	77.0	158.0	85.0	94.0	86.0	101.0	122.0	63.0	200.0	84.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
